Water_Provider_Name,County,,,,,,,,,,,,,,,,,
Mountain Water and Sanitation District,Clear Creek,,,,,,,,,,,,,,,,,
Mountain Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
Mountain Water and Sanitation District,Park,,,,,,,,,,,,,,,,,
Southgate Water and Sanitation District,Arapahoe,,,,,,,,,,,,,,,,,
Southgate Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
Southgate Water and Sanitation District,Douglas,,,,,,,,,,,,,,,,,
Southwest Metropolitan Water and Sanitation District,Arapahoe,,,,,,,,,,,,,,,,,
Southwest Metropolitan Water and Sanitation District,Douglas,,,,,,,,,,,,,,,,,
Southwest Metropolitan Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
Tri-County Water Conservation District,Delta,,,,,,,,,,,,,,,,,
Tri-County Water Conservation District,Montrose,,,,,,,,,,,,,,,,,
Tri-County Water Conservation District,Ouray,,,,,,,,,,,,,,,,,
Upper Gunnison River Water Conservancy District,Gunnison,,,,,,,,,,,,,,,,,
Upper Gunnison River Water Conservancy District,Hinsdale,,,,,,,,,,,,,,,,,
Upper Gunnison River Water Conservancy District,Saguache,,,,,,,,,,,,,,,,,
Upper Arkansas Water Conservancy District,Chaffee,,,,,,,,,,,,,,,,,
Upper Arkansas Water Conservancy District,Custer,,,,,,,,,,,,,,,,,
Upper Arkansas Water Conservancy District,El Paso,,,,,,,,,,,,,,,,,
Upper Arkansas Water Conservancy District,Fremont,,,,,,,,,,,,,,,,,
Upper Arkansas Water Conservancy District,Saguache,,,,,,,,,,,,,,,,,
Upper South Platte Water Conservancy District,Clear Creek,,,,,,,,,,,,,,,,,
Upper South Platte Water Conservancy District,Douglas,,,,,,,,,,,,,,,,,
Upper South Platte Water Conservancy District,Jefferson,,,,,,,,,,,,,,,,,
Upper South Platte Water Conservancy District,Park,,,,,,,,,,,,,,,,,
Upper South Platte Water Conservancy District,Teller,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Boulder,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Broomfield,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Larimer,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Logan,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Morgan,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Sedgwick,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Washington,,,,,,,,,,,,,,,,,
Northern Colorado Water Conservancy District,Weld,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Bent,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Chaffee,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Crowley,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,El Paso,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Fremont,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Kiowa,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Otero,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Prowers,,,,,,,,,,,,,,,,,
Southeastern Colorado Water Conservancy District,Pueblo,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Delta,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Eagle,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Garfield,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Grand,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Gunnison,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Hinsdale,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Mesa,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Moffat,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Montrose,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Ouray,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Pitkin,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Rio Blanco,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Routt,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Saguache,,,,,,,,,,,,,,,,,
Colorado River Water Conservation District,Summit,,,,,,,,,,,,,,,,,
