LGID,SOURCE,LGNAME,LGTYPEID,LGSTATUSID,ABBREV_NAM,MAIL_ADDRE,ALT_ADDRES,MAIL_CITY,MAIL_STATE,MAIL_ZIP,URL,PREV_NAME
65549,Adams Assessor Office 06-25-2015,Painted Prairie Metropolitan District No. 5,6,1,Painted Prairie Metro. District #5,1700 Lincoln St Ste 3800,c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203,,
65550,Adams Assessor Office 06-25-2015,Painted Prairie Metropolitan District No. 6,6,1,Painted Prairie Metro. District #6,1700 Lincoln St Ste 3800,c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203,,
01092,Adams Assessor Office 06-25-2015,Reunion Metropolitan District,6,1,Reunion Metropolitan District,"8390 E Crescent Parkway, Suite 500",c/o Clifton Larson Allen LLP,Greenwood Village,CO,80111,,Buffalo Hills Metropolitan District
65187,Adams Assessor Office 06-25-2015,River Oaks Metropolitan District,6,1,River Oaks Metropolitan District,"7400 East Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,,
65885,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 2,6,1,TransPort Metropolitan District No. 2,2154 E Commons Ave Ste 2000,"c/o White Bear Ankele, Tanaka, & Waldron",Centennial,CO,80122,,
65886,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 3,6,1,TransPort Metropolitan District No. 3,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65081,Adams Assessor Office 06-25-2015,Riverdale Peaks II Metropolitan District,6,1,Riverdale Peaks II Metropolitan District,"141 Union Boulevard, Suite 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,,
65425,Adams Assessor Office 06-25-2015,Sagebrush Farm Metropolitan District No. 1,6,1,Sagebrush Farm Metropolitan District #1,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
65426,Adams Assessor Office 06-25-2015,Sagebrush Farm Metropolitan District No. 2,6,1,Sagebrush Farm Metropolitan District #2,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
65105,Adams Assessor Office 06-25-2015,Second Creek Farm Metropolitan District No. 1,6,1,Second Creek Farm Metro. District No. 1,"405 East 17th Avenue, Suite 400",c/o McGeady Becher P.C.,Denver,CO,80203-1214,,
65106,Adams Assessor Office 06-25-2015,Second Creek Farm Metropolitan District No. 2,6,1,Second Creek Farm Metro. District No. 2,"450 East 17th Avenue, Suite 400","c/o McGeady Becher, P.C.",Denver,CO,80203-1214,,
65622,Adams Assessor Office 06-25-2015,Second Creek Farm Metropolitan District No. 3,6,1,Second Creek Farm Metro. District No. 3,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
