"Feature Name|""ID""|""Class""|""County""|""State""|""Latitude""|""Longitude""|""Ele(ft)""|""Map""|""BGN Date""|""Entry Date""|"
"Altman (historical)|""203908""|""Populated Place""|""Teller""|""CO""|""384410N""|""1050802W""|""10630""|""Cripple Creek South""|""""|""13-OCT-1978"""
"Altona|""178293""|""Populated Place""|""Boulder""|""CO""|""400802N""|""1051658W""|""5600""|""Lyons""|""""|""13-OCT-1978"""
"Altona Census Designated Place|""2583208""|""Census""|""Boulder""|""CO""|""400731N""|""1051733W""|""5928""|""Lyons""|""""|""31-MAR-2010"""
"Altura|""184990""|""Populated Place""|""Arapahoe""|""CO""|""394425N""|""1044816W""|""5430""|""Fitzsimons""|""""|""13-OCT-1978"""
"Altura|""184567""|""Populated Place""|""Archuleta""|""CO""|""371100N""|""1071128W""|""7159""|""Lonetree Canyon""|""""|""13-OCT-1978"""
"Alvin|""182950""|""Populated Place""|""Yuma""|""CO""|""401828N""|""1020433W""|""3599""|""Alvin""|""""|""13-OCT-1978"""
"American City (historical)|""181519""|""Populated Place""|""Gilpin""|""CO""|""395221N""|""1053514W""|""10633""|""Central City""|""""|""13-OCT-1978"""
"Americus|""189265""|""Populated Place""|""Chaffee""|""CO""|""385409N""|""1060956W""|""8182""|""Harvard Lakes""|""""|""13-OCT-1978"""
"Ames|""187459""|""Populated Place""|""San Miguel""|""CO""|""375153N""|""1075256W""|""8720""|""Mount Wilson""|""""|""13-OCT-1978"""
"Amherst|""182776""|""Populated Place""|""Phillips""|""CO""|""404058N""|""1020958W""|""3691""|""Amherst""|""""|""13-OCT-1978"""
"Amherst Census Designated Place|""2583209""|""Census""|""Phillips""|""CO""|""404059N""|""1021021W""|""3697""|""Amherst""|""""|""31-MAR-2010"""
"Anaconda (historical)|""203909""|""Populated Place""|""Teller""|""CO""|""384355N""|""1050947W""|""9498""|""Roubideau""|""""|""13-OCT-1978"""
"Andersonville|""177436""|""Populated Place""|""Larimer""|""CO""|""403538N""|""1050326W""|""4947""|""Fort Collins""|""""|""13-OCT-1978"""
"Andrix|""196208""|""Populated Place""|""Las Animas""|""CO""|""371646N""|""1031134W""|""5394""|""Andrix""|""""|""13-OCT-1978"""
"Angora|""171599""|""Populated Place""|""Rio Blanco""|""CO""|""401036N""|""1083432W""|""5466""|""Divide Creek""|""""|""13-OCT-1978"""
"Animas Forks (historical)|""187373""|""Populated Place""|""San Juan""|""CO""|""375552N""|""1073417W""|""11184""|""Handies Peak""|""""|""13-OCT-1978"""
"Ansel|""190323""|""Populated Place""|""Rio Grande""|""CO""|""374211N""|""1060609W""|""7651""|""Center South""|""""|""13-OCT-1978"""
"Antero Junction|""191088""|""Populated Place""|""Park""|""CO""|""385524N""|""1055755W""|""9186""|""Antero Reservoir""|""""|""13-OCT-1978"""
"Antlers|""174052""|""Populated Place""|""Garfield""|""CO""|""393236N""|""1074340W""|""5387""|""Silt""|""""|""13-OCT-1978"""
"Anton|""195021""|""Populated Place""|""Washington""|""CO""|""394430N""|""1031302W""|""4869""|""Anton""|""""|""13-OCT-1978"""
"Antonito|""190909""|""Populated Place""|""Conejos""|""CO""|""370445N""|""1060031W""|""7887""|""Antonito""|""""|""13-OCT-1978"""
"Anvil Points|""174030""|""Populated Place""|""Garfield""|""CO""|""393058N""|""1075522W""|""5653""|""Anvil Points""|""""|""13-OCT-1978"""
"Apache City|""194061""|""Populated Place""|""Huerfano""|""CO""|""375130N""|""1044952W""|""5945""|""Huerfano Butte""|""""|""13-OCT-1978"""
"Apache Mesa|""2354611""|""Populated Place""|""Arapahoe""|""CO""|""394355N""|""1044745W""|""5463""|""Fitzsimons""|""""|""27-SEP-2007"""
"Apex (historical)|""2770928""|""Populated Place""|""Gilpin""|""CO""|""395156N""|""1053413W""|""9842""|""Central City""|""""|""17-FEB-2015"""
"Apple Meadows|""2120003""|""Populated Place""|""Jefferson""|""CO""|""394817N""|""1051243W""|""5800""|""Golden""|""""|""01-MAY-2007"""
"Appleton|""174598""|""Populated Place""|""Mesa""|""CO""|""390715N""|""1083629W""|""4596""|""Grand Junction""|""""|""13-OCT-1978"""
"Applewood|""1867076""|""Populated Place""|""Jefferson""|""CO""|""394528N""|""1050945W""|""5577""|""Golden""|""""|""15-MAY-2000"""
"Applewood Census Designated Place|""2407749""|""Census""|""Jefferson""|""CO""|""394508N""|""1050938W""|""5800""|""Golden""|""""|""11-MAR-2008"""
"Applewood Glen|""2354959""|""Populated Place""|""Jefferson""|""CO""|""394443N""|""1050804W""|""5568""|""Morrison""|""""|""16-OCT-2007"""
"Applewood Grove|""2354960""|""Populated Place""|""Jefferson""|""CO""|""394437N""|""1050845W""|""5610""|""Morrison""|""""|""16-OCT-2007"""
"Applewood Village|""2354918""|""Populated Place""|""Jefferson""|""CO""|""394556N""|""1050759W""|""5479""|""Golden""|""""|""16-OCT-2007"""
"Ara|""178715""|""Populated Place""|""Boulder""|""CO""|""400130N""|""1051501W""|""5269""|""Boulder""|""""|""13-OCT-1978"""
"Arapahoe|""196392""|""Populated Place""|""Cheyenne""|""CO""|""385100N""|""1021056W""|""4006""|""Arapahoe""|""""|""31-AUG-1992"""
"Arboles|""184512""|""Populated Place""|""Archuleta""|""CO""|""370141N""|""1072509W""|""6279""|""Allison""|""""|""13-OCT-1978"""
"Arboles Census Designated Place|""2407753""|""Census""|""Archuleta""|""CO""|""370113N""|""1072520W""|""6388""|""Allison""|""""|""11-MAR-2008"""
"Arbourville (historical)|""203926""|""Populated Place""|""Chaffee""|""CO""|""Unknown""|""Unknown""|""""|""Unknown""|""""|""01-MAR-1995"""
"Argo Mill|""182015""|""Populated Place""|""Clear Creek""|""CO""|""394434N""|""1053024W""|""7523""|""Idaho Springs""|""""|""13-OCT-1978"""
"Arickaree|""195023""|""Populated Place""|""Washington""|""CO""|""394157N""|""1030358W""|""4715""|""Arickaree""|""""|""13-OCT-1978"""
